コード,業種区分,業種区分,業種別コードリスト
1301,食品,-,"[2971, 2972, 2979, 2989, 3226, 3234, 3249, 3269, 3279, 3281, 3282, 3283, 3287, 3290, 3292, 3295, 3296, 3309, 3451, 3455, 3459, 3462, 3463, 3466, 3468, 3470, 3471, 3472, 3476, 3481, 3487, 3488, 3492, 3493, 8301, 8421, 8951, 8952, 8953, 8954, 8955, 8956, 8957, 8958, 8960, 8961, 8963, 8964, 8966, 8967, 8968, 8972, 8975, 8976, 8977, 8979, 8984, 8985, 8986, 8987, 9282, 9284, 9285, 9286, 9287]"
130A,医薬品,エネルギー資源,"[1514, 1515, 1518, 1605, 1662, 1663, 3315, 5010, 5011, 5013, 5015, 5017, 5018, 5019, 5020, 5021]"
1332,食品,不動産,"[1435, '146A', '166A', 1783, 1878, '187A', 2337, 2353, 2970, 2975, 2978, 2980, 2981, 2982, 2983, 2984, 2986, 2991, 2993, 2997, 2998, 2999, 3003, 3231, 3232, 3236, 3237, 3238, 3241, 3242, 3245, 3246, 3248, 3252, 3254, 3261, 3264, 3266, 3271, 3275, 3276, 3277, 3280, 3284, 3286, 3288, 3289, 3291, 3293, 3294, 3297, 3299, 3300, 3452, 3454, 3457, 3458, 3461, 3465, 3467, 3469, 3474, 3475, 3477, 3479, 3480, 3482, 3484, 3486, 3489, 3490, 3491, 3494, 3495, 3496, 3497, 3498, 3772, 4666, 4809, 5280, 5527, 5532, 5533, 5535, 6620, 6625, 8801, 8802, 8803, 8804, 8818, 8830, 8836, 8841, 8844, 8848, 8850, 8860, 8864, 8869, 8871, 8877, 8881, 8886, 8887, 8889, 8890, 8891, 8892, 8894, 8897, 8898, 8904, 8905, 8908, 8912, 8914, 8917, 8918, 8919, 8923, 8927, 8928, 8929, 8931, 8934, 8935, 8938, 8940, 8944, 8945, 8946, 8995, 8996, 8999, 9706, 9816, 9820]"
1333,食品,医薬品,"['130A', '190A', '197A', '206A', 2160, '219A', 4151, 4502, 4503, 4506, 4507, 4512, 4516, 4519, 4521, 4523, 4524, 4527, 4528, 4530, 4534, 4536, 4538, 4539, 4540, 4547, 4548, 4549, 4551, 4552, 4553, 4554, 4556, 4558, 4559, 4563, 4564, 4565, 4568, 4569, 4570, 4571, 4572, 4574, 4575, 4576, 4577, 4578, 4579, 4582, 4583, 4584, 4586, 4587, 4588, 4591, 4592, 4593, 4594, 4595, 4596, 4597, 4598, 4599, 4875, 4880, 4881, 4882, 4883, 4884, 4885, 4886, 4887, 4888, 4889, 4890, 4891, 4892, 4893, 4894, 4896]"
135A,情報通信・サービスその他,商社・卸売,"['167A', 2667, 2668, 2676, 2689, 2692, 2693, 2700, 2708, 2715, 2721, 2733, 2737, 2743, 2750, 2751, 2760, 2763, 2767, 2768, 2776, 2784, 2788, 2795, 2874, 3004, 3023, 3024, 3035, 3036, 3038, 3041, 3045, 3054, 3070, 3076, 3079, 3089, 3107, 3131, 3132, 3139, 3140, 3143, 3150, 3151, 3153, 3154, 3156, 3157, 3160, 3161, 3166, 3167, 3168, 3173, 3176, 3180, 3183, 3306, 3320, 3321, 3322, 3323, 3350, 3355, 3359, 3360, 3374, 3377, 3386, 3388, 3392, 3393, 3417, 3537, 3540, 3541, 3543, 3559, 3562, 3565, 5009, 5283, 5885, 6973, 7111, 7114, 7115, 7116, 7120, 7128, 7130, 7131, 7413, 7414, 7417, 7420, 7422, 7425, 7426, 7427, 7433, 7434, 7435, 7438, 7442, 7443, 7444, 7446, 7447, 7451, 7456, 7458, 7459, 7460, 7461, 7464, 7466, 7467, 7472, 7476, 7477, 7480, 7481, 7482, 7483, 7486, 7487, 7490, 7500, 7501, 7504, 7505, 7510, 7521, 7525, 7531, 7537, 7538, 7539, 7552, 7555, 7559, 7565, 7567, 7570, 7575, 7590, 7599, 7602, 7607, 7608, 7609, 7613, 7619, 7624, 7628, 7634, 7635, 7637, 7670, 7673, 7677, 7681, 7685, 7687, 7689, 7698, 7699, 8001, 8002, 8006, 8007, 8012, 8014, 8015, 8018, 8020, 8025, 8030, 8031, 8032, 8037, 8038, 8039, 8041, 8043, 8045, 8046, 8051, 8052, 8053, 8057, 8058, 8059, 8060, 8061, 8065, 8066, 8070, 8072, 8074, 8075, 8076, 8077, 8078, 8079, 8081, 8084, 8085, 8088, 8089, 8091, 8093, 8095, 8097, 8098, 8101, 8103, 8104, 8105, 8115, 8117, 8119, 8123, 8125, 8129, 8130, 8131, 8132, 8133, 8135, 8136, 8137, 8138, 8139, 8141, 8142, 8144, 8147, 8150, 8151, 8152, 8153, 8154, 8158, 8159, 8225, 8226, 8275, 8283, 8285, 8835, 9260, 9264, 9265, 9268, 9270, 9273, 9274, 9305, 9763, 9812, 9818, 9824, 9827, 9830, 9832, 9837, 9849, 9852, 9857, 9867, 9869, 9872, 9882, 9885, 9888, 9895, 9896, 9902, 9906, 9908, 9913, 9914, 9929, 9930, 9932, 9934, 9941, 9955, 9960, 9962, 9972, 9982, 9986, 9987, 9991, 9996]"
1375,食品,小売,"['138A', '141A', '245A', 2652, 2653, 2654, 2656, 2659, 2664, 2666, 2669, 2670, 2673, 2674, 2678, 2681, 2683, 2685, 2686, 2687, 2694, 2695, 2698, 2702, 2705, 2722, 2726, 2730, 2734, 2735, 2736, 2742, 2747, 2752, 2753, 2754, 2762, 2764, 2769, 2778, 2780, 2782, 2789, 2790, 2791, 2792, 2796, 2798, 3011, 3020, 3028, 3030, 3034, 3046, 3048, 3050, 3053, 3058, 3059, 3063, 3064, 3065, 3067, 3068, 3069, 3071, 3073, 3075, 3077, 3080, 3082, 3083, 3086, 3087, 3088, 3091, 3092, 3093, 3094, 3096, 3097, 3099, 3133, 3134, 3135, 3137, 3138, 3141, 3148, 3159, 3169, 3172, 3174, 3175, 3177, 3178, 3179, 3181, 3182, 3184, 3185, 3186, 3187, 3189, 3190, 3191, 3192, 3193, 3195, 3196, 3197, 3198, 3199, 3221, 3222, 3223, 3224, 3317, 3319, 3328, 3329, 3333, 3341, 3347, 3349, 3352, 3353, 3358, 3361, 3370, 3372, 3375, 3382, 3387, 3391, 3395, 3396, 3397, 3399, 3415, 3416, 3418, 3536, 3538, 3539, 3542, 3544, 3546, 3547, 3548, 3549, 3550, 3556, 3557, 3558, 3560, 3561, 3563, 3566, 3726, 3825, 4350, 5856, 5884, 5888, 5889, 5891, 5892, 6993, 7110, 7112, 7119, 7126, 7127, 7129, 7133, 7134, 7135, 7138, 7140, 7412, 7416, 7419, 7421, 7445, 7450, 7453, 7455, 7462, 7463, 7475, 7494, 7506, 7508, 7509, 7512, 7513, 7514, 7515, 7516, 7520, 7522, 7523, 7524, 7532, 7544, 7545, 7550, 7554, 7561, 7562, 7564, 7571, 7578, 7581, 7585, 7593, 7596, 7601, 7603, 7604, 7605, 7606, 7610, 7611, 7614, 7615, 7616, 7621, 7623, 7625, 7630, 7636, 7638, 7640, 7643, 7646, 7649, 7674, 7678, 7679, 7682, 7683, 7686, 7694, 7695, 7918, 8005, 8008, 8160, 8163, 8165, 8166, 8167, 8173, 8174, 8179, 8181, 8182, 8185, 8194, 8198, 8200, 8202, 8203, 8207, 8208, 8209, 8214, 8215, 8217, 8218, 8219, 8227, 8230, 8233, 8237, 8242, 8244, 8247, 8252, 8254, 8255, 8260, 8267, 8273, 8276, 8278, 8279, 8281, 8282, 8289, 8291, 9262, 9267, 9271, 9275, 9278, 9279, 9627, 9823, 9828, 9831, 9835, 9842, 9843, 9846, 9850, 9853, 9854, 9856, 9861, 9876, 9878, 9887, 9890, 9900, 9903, 9904, 9927, 9936, 9946, 9948, 9950, 9956, 9959, 9969, 9973, 9974, 9976, 9978, 9979, 9980, 9983, 9989, 9990, 9993, 9994, 9997]"
1376,食品,建設・資材,"[1401, 1407, 1414, 1417, 1418, 1419, 1420, 1429, 1430, 1431, 1433, 1434, 1436, 1438, 1439, 1443, 1444, 1446, 1447, 1450, 1451, 1711, 1712, 1716, 1718, 1719, 1720, 1721, 1723, 1724, 1726, 1730, 1736, 1743, 1757, 1758, 1762, 1764, 1766, 1768, 1770, 1773, 1775, 1776, 1780, 1786, 1787, 1788, 1793, 1795, 1798, 1799, 1801, 1802, 1803, 1807, 1808, 1810, 1811, 1812, 1813, 1814, 1815, 1820, 1821, 1822, 1826, 1827, 1828, 1833, 1835, 1840, 1841, 1844, 1847, 1848, 1850, 1852, 1853, 1860, 1861, 1866, 1867, 1870, 1871, 1873, 1879, 1882, 1884, 1885, 1887, 1888, 1890, 1893, 1897, 1898, 1899, 1904, 1905, 1911, 1914, 1921, 1925, 1926, 1928, 1929, 1930, 1934, 1938, 1939, 1941, 1942, 1944, 1945, 1946, 1948, 1949, 1950, 1951, 1952, 1959, 1960, 1961, 1963, 1964, 1965, 1966, 1967, 1968, 1969, 1972, 1975, 1976, 1979, 1980, 1981, 1982, 1992, 1994, 1997, '205A', '211A', 2961, 2962, 3110, 3267, 3420, 3421, 3422, 3423, 3426, 3431, 3433, 3434, 3435, 3436, 3437, 3439, 3440, 3441, 3443, 3444, 3445, 3446, 3447, 3449, 4026, 5070, 5071, 5074, 5076, 50765, 5078, 5079, 5201, 5202, 5204, 5210, 5214, 5216, 5218, 5232, 5233, 5237, 5262, 5268, 5269, 5271, 5273, 5277, 5279, 5282, 5284, 5285, 5287, 5288, 5290, 5301, 5302, 5304, 5310, 5331, 5332, 5333, 5334, 5337, 5341, 5344, 5351, 5352, 5355, 5356, 5357, 5363, 5367, 5368, 5380, 5381, 5384, 5386, 5388, 5391, 5393, 5395, 5900, 5901, 5902, 5903, 5905, 5906, 5909, 5911, 5915, 5918, 5921, 5922, 5923, 5928, 5929, 5930, 5932, 5933, 5935, 5936, 5938, 5939, 5940, 5941, 5942, 5943, 5945, 5946, 5947, 5950, 5951, 5952, 5955, 5956, 5957, 5958, 5959, 5965, 5966, 5967, 5969, 5970, 5971, 5973, 5974, 5975, 5976, 5981, 5982, 5983, 5984, 5985, 5986, 5987, 5988, 5989, 5990, 5991, 5992, 5994, 5997, 5998, 6330, 6366, 6379, 7943, 7985, 7989, 8155]"
1377,食品,情報通信・サービスその他,"['135A', '137A', '142A', '143A', '145A', '147A', '148A', '149A', '150A', '151A', '153A', '155A', '156A', '157A', '160A', '168A', 1717, '173A', '175A', '184A', '186A', '189A', '192A', '194A', '195A', 1973, '198A', '202A', '208A', 2120, 2121, 2122, 2124, 2127, '212A', 2130, 2134, 2136, 2138, 2139, 2146, 2148, 2150, 2152, 2153, 2154, 2156, 2157, 2158, '215A', 2162, 2163, 2164, 2168, 2169, 2170, 2173, 2175, 2179, 2180, 2181, 2183, 2185, 2186, 2193, 2195, 2196, 2198, '220A', '228A', 2300, 2301, 2303, 2304, 2305, 2307, 2311, 2315, 2317, 2321, 2323, 2325, 2326, 2327, 2329, 2330, 2331, 2332, 2334, 2335, 2338, 2340, 2341, 2342, 2344, 2345, 2349, 2351, 2354, 2359, 2370, 2371, 2372, 2373, 2374, 2375, 2376, 2378, 2379, 2385, 2389, 2391, 2393, 2395, 2397, 2404, 2408, 2410, 2411, 2413, 2415, 2418, '241A', 2424, 2425, 2428, 2429, 2432, 2433, 2435, 2436, 2437, 2438, 2440, 2445, 2449, '244A', 2454, 2459, 2461, 2462, 2464, 2469, '246A', 2471, 2475, 2477, 2479, 2480, 2481, 2483, 2484, 2485, 2487, 2488, 2489, '248A', 2491, 2492, 2493, 2497, 2498, 2499, 2749, 3010, 3021, 3031, 3040, 3042, 3121, 3326, 3371, 3521, 3622, 3623, 3624, 3625, 3626, 3627, 3628, 3632, 3633, 3634, 3635, 3636, 3639, 3640, 3641, 3645, 3646, 3647, 3648, 3649, 3652, 3653, 3655, 3656, 3657, 3659, 3660, 3661, 3662, 3663, 3664, 3665, 3666, 3667, 3668, 3670, 3671, 3672, 3673, 3674, 3675, 3676, 3678, 3679, 3680, 3681, 3682, 3683, 3686, 3687, 3688, 3690, 3691, 3692, 3694, 3695, 3696, 3697, 3698, 3710, 3712, 3719, 3723, 3727, 3733, 3738, 3741, 3744, 3747, 3750, 3753, 3758, 3760, 3762, 3763, 3765, 3766, 3768, 3769, 3770, 3771, 3773, 3774, 3776, 3777, 3778, 3779, 3787, 3788, 3791, 3793, 3796, 3798, 3799, 3800, 3802, 3803, 3804, 3807, 3810, 3814, 3815, 3816, 3817, 3823, 3826, 3834, 3835, 3836, 3837, 3839, 3840, 3841, 3842, 3843, 3844, 3845, 3847, 3848, 3850, 3851, 3853, 3854, 3857, 3858, 3900, 3901, 3902, 3903, 3904, 3905, 3907, 3908, 3909, 3910, 3911, 3912, 3913, 3914, 3915, 3916, 3917, 3918, 3920, 3921, 3922, 3923, 3924, 3925, 3926, 3927, 3928, 3929, 3930, 3931, 3932, 3933, 3934, 3935, 3936, 3937, 3939, 3940, 3961, 3962, 3963, 3964, 3965, 3967, 3968, 3969, 3970, 3974, 3976, 3978, 3979, 3981, 3983, 3984, 3985, 3986, 3987, 3988, 3989, 3990, 3991, 3992, 3993, 3994, 3996, 3997, 3998, 4011, 4012, 4013, 4014, 4015, 4016, 4017, 4019, 4020, 4051, 4052, 4053, 4054, 4055, 4056, 4057, 4058, 4059, 4060, 4068, 4069, 4071, 4072, 4073, 4074, 4075, 4076, 4165, 4166, 4167, 4168, 4169, 4170, 4171, 4172, 4173, 4174, 4175, 4176, 4177, 4178, 4179, 4180, 4192, 4193, 4194, 4196, 4197, 4198, 4199, 4255, 4256, 4258, 4259, 4260, 4261, 4262, 4263, 4264, 4265, 4267, 4268, 4270, 4284, 4286, 4287, 4288, 4290, 4293, 4295, 4298, 4299, 4301, 4304, 4307, 4308, 4310, 4316, 4317, 4318, 4319, 4320, 4323, 4324, 4326, 4331, 4333, 4334, 4335, 4337, 4341, 4343, 4344, 4345, 4347, 4348, 4356, 4370, 4371, 4372, 4373, 4374, 4375, 4376, 4377, 4378, 4379, 4380, 4381, 4382, 4384, 4385, 4386, 4387, 4388, 4389, 4390, 4391, 4392, 4393, 4394, 4395, 4396, 4397, 4398, 4412, 4413, 4414, 4415, 4416, 4417, 4418, 4419, 4420, 4421, 4422, 4424, 4425, 4427, 4428, 4429, 4430, 4431, 4432, 4433, 4434, 4435, 4436, 4437, 4438, 4439, 4440, 4441, 4442, 4443, 4444, 4445, 4446, 4447, 4448, 4449, 4450, 4475, 4476, 4477, 4478, 4479, 4480, 4481, 4482, 4483, 4484, 4485, 4486, 4487, 4488, 4490, 4491, 4492, 4493, 4494, 4495, 4496, 4498, 4499, 4544, 4641, 4642, 4644, 4645, 4650, 4651, 4657, 4658, 4659, 4661, 4662, 4664, 4665, 4667, 4668, 4671, 4673, 4674, 4676, 4678, 4679, 4680, 4681, 4684, 4685, 4686, 4687, 4689, 4690, 4691, 4694, 4704, 4705, 4707, 4709, 4712, 4714, 4716, 4718, 4719, 4720, 4722, 4725, 4728, 4732, 4733, 4735, 4736, 4743, 4745, 4746, 4750, 4751, 4752, 4754, 4755, 4760, 4761, 4762, 4763, 4765, 4766, 4767, 4768, 4769, 4771, 4772, 4776, 4777, 4783, 4784, 4792, 4800, 4801, 4811, 4812, 4813, 4814, 4816, 4819, 4820, 4824, 4825, 4826, 4828, 4829, 4832, 4833, 4838, 4839, 4840, 4845, 4847, 4848, 4849, 5025, 5026, 5027, 5028, 5029, 5031, 5032, 5033, 5034, 5035, 5036, 5038, 5125, 5126, 5129, 5131, 5132, 5133, 5134, 5136, 5137, 5138, 5139, 5240, 5242, 5243, 5244, 5246, 5247, 5248, 5250, 5252, 5253, 5254, 5255, 5256, 5257, 5258, 5259, 5261, 5570, 5571, 5572, 5574, 5575, 5576, 5577, 5578, 5580, 5582, 5585, 5586, 5587, 5588, 5589, 5590, 5591, 5592, 5595, 5596, 5597, 5599, 5616, 5618, 5619, 5621, 5867, 5868, 5869, 5870, 5871, 5962, 6026, 6027, 6028, 6029, 6030, 6031, 6033, 6034, 6035, 6036, 6037, 6038, 6039, 6040, 6044, 6045, 6046, 6047, 6048, 6049, 6050, 6054, 6055, 6058, 6059, 6060, 6061, 6062, 6063, 6069, 6070, 6071, 6072, 6073, 6074, 6078, 6080, 6081, 6082, 6083, 6085, 6086, 6087, 6088, 6089, 6090, 6091, 6092, 6093, 6094, 6095, 6096, 6098, 6099, 6171, 6173, 6176, 6177, 6178, 6180, 6181, 6182, 6183, 6184, 6185, 6186, 6189, 6190, 6191, 6193, 6194, 6195, 6196, 6197, 6198, 6199, 6200, 6532, 6533, 6535, 6537, 6538, 6539, 6540, 6542, 6543, 6544, 6545, 6546, 6547, 6548, 6549, 6550, 6551, 6552, 6554, 6555, 6557, 6558, 6560, 6561, 6562, 6563, 6564, 6565, 6566, 6568, 6570, 6571, 6572, 6573, 6574, 6577, 6578, 6579, 6580, 6786, 6819, 6879, 6888, 6942, 7030, 7031, 7033, 7034, 7035, 7036, 7037, 7038, 7039, 7040, 7041, 7042, 7043, 7044, 7046, 7047, 7048, 7049, 7050, 7057, 7058, 7059, 7060, 7061, 7062, 7063, 7064, 7065, 7066, 7067, 7068, 7069, 7071, 7072, 7073, 7074, 7077, 7078, 7079, 7080, 7081, 7082, 7083, 7084, 7085, 7087, 7088, 7089, 7090, 7091, 7092, 7093, 7094, 7095, 7096, 7097, 7351, 7352, 7353, 7354, 7356, 7357, 7358, 7359, 7360, 7361, 7362, 7363, 7366, 7367, 7368, 7369, 7370, 7371, 7372, 7373, 7374, 7375, 7376, 7377, 7378, 7379, 7502, 7518, 7527, 7595, 7647, 7791, 7792, 7793, 7794, 7795, 7800, 7803, 7804, 7805, 7806, 7807, 7808, 7809, 7810, 7811, 7812, 7813, 7814, 7815, 7817, 7818, 7819, 7820, 7821, 7822, 7823, 7826, 7827, 7831, 7832, 7833, 7836, 7837, 7839, 7840, 7841, 7844, 7846, 7847, 7849, 7850, 7851, 7856, 7857, 7859, 7860, 7863, 7864, 7865, 7867, 7868, 7872, 7875, 7878, 7879, 7883, 7885, 7887, 7893, 7896, 7897, 7898, 7901, 7902, 7906, 7911, 7912, 7914, 7915, 7916, 7919, 7921, 7922, 7923, 7932, 7936, 7937, 7938, 7939, 7944, 7946, 7949, 7951, 7952, 7953, 7955, 7956, 7957, 7962, 7963, 7966, 7972, 7974, 7975, 7976, 7980, 7981, 7983, 7984, 7986, 7987, 7990, 7992, 7994, 7997, 8022, 8023, 8056, 8157, 8769, 8876, 8920, 9158, 9159, 9160, 9161, 9162, 9163, 9164, 9165, 9166, 9168, 9211, 9212, 9213, 9214, 9215, 9216, 9218, 9219, 9220, 9221, 9223, 9225, 9227, 9229, 9235, 9236, 9237, 9238, 9240, 9241, 9242, 9244, 9245, 9246, 9247, 9248, 9249, 9250, 9251, 9252, 9253, 9254, 9256, 9257, 9258, 9259, 9272, 9330, 9331, 9332, 9336, 9337, 9338, 9339, 9340, 9341, 9342, 9343, 9344, 9345, 9346, 9347, 9348, 9360, 9376, 9399, 9401, 9404, 9405, 9408, 9409, 9412, 9413, 9414, 9416, 9417, 9418, 9419, 9421, 9423, 9424, 9425, 9428, 9432, 9433, 9434, 94345, 9435, 9436, 9438, 9439, 9441, 9444, 9445, 9446, 9449, 9450, 9466, 9467, 9468, 9470, 9474, 9475, 9476, 9478, 9479, 9552, 9553, 9554, 9556, 9557, 9558, 9560, 9561, 9562, 9563, 9564, 9565, 9600, 9601, 9602, 9603, 9605, 9610, 9612, 9613, 9616, 9619, 9621, 9622, 9625, 9628, 9629, 9632, 9633, 9635, 9636, 9639, 9640, 9644, 9647, 9651, 9656, 9658, 9661, 9663, 9672, 9675, 9678, 9679, 9682, 9684, 9685, 9686, 9687, 9691, 9692, 9696, 9697, 9698, 9699, 9701, 9702, 9704, 9708, 9709, 9713, 9715, 9716, 9719, 9720, 9722, 9723, 9726, 9729, 9731, 9733, 9735, 9739, 9740, 9742, 9743, 9744, 9746, 9749, 9753, 9755, 9757, 9759, 9760, 9761, 9765, 9766, 9767, 9768, 9769, 9776, 9778, 9780, 9782, 9787, 9788, 9790, 9791, 9793, 9795, 9799, 9889, 9928, 9984]"
1379,食品,機械,"[1909, 5631, 6005, 6013, 6022, 6101, 6103, 6104, 6113, 6118, 6125, 6131, 6134, 6135, 6136, 6137, 6138, 6140, 6141, 6143, 6144, 6145, 6146, 6147, 6149, 6150, 6151, 6155, 6156, 6157, 6158, 6159, 6161, 6164, 6165, 6166, 6167, 6203, 6208, 6209, 6210, 6217, 6218, 6222, 6223, 6224, 6226, 6227, 6228, 6229, 6230, 6231, 6232, 6233, 6235, 6236, 6237, 6238, 6239, 6240, 6245, 6246, 6247, 6248, 6249, 6250, 6254, 6255, 6257, 6258, 6262, 6264, 6265, 6266, 6267, 6268, 6269, 6272, 6273, 6277, 6278, 6279, 6282, 6284, 6286, 6287, 6289, 6291, 6292, 6293, 6294, 6297, 6298, 6301, 6302, 6305, 6306, 6307, 6309, 6310, 6312, 6315, 6316, 6317, 6322, 6323, 6324, 6325, 6326, 6327, 6328, 6331, 6332, 6333, 6334, 6335, 6336, 6337, 6338, 6339, 6340, 6342, 6343, 6345, 6346, 6347, 6349, 6351, 6356, 6357, 6358, 6360, 6361, 6362, 6363, 6364, 6365, 6367, 6368, 6369, 6370, 6371, 6373, 6378, 6380, 6381, 6382, 6383, 6384, 6387, 6390, 6391, 6392, 6393, 6395, 6396, 6400, 6402, 6403, 6405, 6406, 6407, 6408, 6411, 6412, 6413, 6416, 6417, 6418, 6419, 6420, 6424, 6425, 6428, 6430, 6432, 6433, 6436, 6440, 6444, 6445, 6454, 6457, 6458, 6459, 6460, 6463, 6464, 6465, 6466, 6467, 6469, 6470, 6471, 6472, 6473, 6474, 6480, 6481, 6482, 6484, 6485, 6486, 6488, 6489, 6490, 6492, 6494, 6495, 6496, 6497, 6498, 6586, 7003, 7004, 7011, 7013, 7021, 7022, 7718, 7726, 7991]"
137A,情報通信・サービスその他,素材・化学,"['177A', '247A', 2930, 3001, 3002, 3101, 3103, 3104, 3106, 3109, 3111, 3123, 3201, 3202, 3204, 3205, 3302, 3401, 3402, 3405, 3407, 3409, 3501, 3512, 3513, 3524, 3529, 3551, 3553, 3569, 3571, 3577, 3580, 3583, 3591, 3593, 3597, 3598, 3600, 3604, 3607, 3608, 3611, 3612, 3708, 3861, 3863, 3864, 3865, 3877, 3878, 3880, 3891, 3892, 3895, 3896, 3941, 3943, 3944, 3945, 3946, 3947, 3948, 3950, 3951, 3953, 3954, 3955, 3958, 4004, 4005, 4008, 4021, 4022, 4023, 4025, 4027, 4028, 4031, 4040, 4041, 4042, 4043, 4044, 4045, 4046, 4047, 4061, 4063, 4064, 4078, 4080, 4082, 4088, 4091, 4092, 4093, 4094, 4095, 4097, 4098, 4099, 4100, 4102, 4107, 4109, 4112, 4113, 4114, 4116, 4118, 4119, 4120, 4124, 4125, 4182, 4183, 4186, 4187, 4188, 4189, 4202, 4203, 4204, 4205, 4206, 4208, 4212, 4215, 4216, 4218, 4220, 4221, 4222, 4224, 4228, 4229, 4231, 4234, 4235, 4237, 4238, 4240, 4241, 4242, 4243, 4245, 4246, 4247, 4248, 4249, 4251, 4272, 4274, 4275, 4360, 4361, 4362, 4365, 4366, 4367, 4368, 4369, 4401, 4403, 4406, 4409, 4410, 4452, 4461, 4462, 4463, 4464, 4465, 4471, 4531, 4611, 4612, 4613, 4615, 4616, 4617, 4619, 4620, 4623, 4624, 4625, 4626, 4627, 4628, 4629, 4631, 4633, 4634, 4635, 4901, 4911, 4912, 4914, 4917, 4918, 4919, 4920, 4921, 4922, 4923, 4925, 4926, 4927, 4928, 4929, 4931, 4932, 4933, 4934, 4935, 4936, 4937, 4951, 4955, 4956, 4957, 4958, 4960, 4966, 4967, 4968, 4970, 4971, 4972, 4973, 4974, 4975, 4976, 4977, 4978, 4979, 4980, 4985, 4990, 4992, 4994, 4996, 4997, 4998, 5142, 5208, 6776, 6988, 7871, 7874, 7877, 7886, 7888, 7908, 7917, 7925, 7927, 7928, 7931, 7940, 7942, 7947, 7958, 7970, 7971, 7988, 7995, 8011, 8013, 8016, 8029, 8040, 8107, 8111, 8113, 8114, 8118, 8127, 8143, 9385, 9845]"
