ñ¡ïøî‘çÜ,åªç›âøäi,åàéZì˙Ç‹Ç≈,å†óòóéÇøÇ‹Ç≈,ï™äÑì˙Ç‹Ç≈,éûâøëçäz,ó\ëzPER,PBR,ó\ëzEPS,BPS,îzìñê´å¸,ÉxÅ[É^íl,âﬂãéîzìñäz,âﬂãéîzìñóòâÒÇË,ïΩãœîzìñóòâÒÇË,åªç›îzìñäz,åªç›îzìñóòâÒÇË,52èTà¿íl,52èTçÇíl,êÑèß,ÉAÉiÉäÉXÉgà”å©êî,Open,High,Low,Close,Adj Close,Volume,MACD,Signal_Line,MACD_Signal_difference,DI+,DI-,DI+DI-_difference,Parabolic_SAR,Parabolic_SAR_difference,RSI_14,%K,Psychological_Line,RCI_26,MA_Deviation,MACD_Percentile,MACD_Current Deviation,MACD_Signal_difference_Percentile,MACD_Signal_difference_Current Deviation,DI+_Percentile,DI+_Current Deviation,DI-_Percentile,DI-_Current Deviation,DI+DI-_difference_Percentile,DI+DI-_difference_Current Deviation,Parabolic_SAR_Percentile,Parabolic_SAR_Current Deviation,Parabolic_SAR_difference_Percentile,Parabolic_SAR_difference_Current Deviation,RSI_14_Percentile,RSI_14_Current Deviation,%K_Percentile,%K_Current Deviation,Psychological_Line_Percentile,Psychological_Line_Current Deviation,RCI_26_Percentile,RCI_26_Current Deviation,MA_Deviation_Percentile,MA_Deviation_Current Deviation,MACD_Signal_Line_Last_Cross,MACD_Signal_Line_Last_Cross_Day,MACD_Signal_Line_Next_Cross_Day,DI+_DI-_Last_Cross,DI+_DI-_Last_Cross_Day,DI+_DI-_Next_Cross_Day
1332.T,932.9000244140625,63,115,,289968652288,10.502083,1.0721583,88.83,870.114,0.35669997,0.214,26.0,0.027691979,2.27,24.0,0.0256,738.0,1002.5,buy,4,936.1,940.0,926.8,932.9,932.9,1350200,16.592,16.058,0.534,44.648,26.431,18.217,853.636,79.264,62.404,68.596,58.333,76.0,3.885,76.083,0.582,50.642,0.073,68.506,0.517,33.198,-0.491,67.776,0.525,97.831,2.18,89.88,1.171,67.072,0.516,57.178,0.414,57.895,0.527,78.46,0.961,54.419,0.261,Golden,85,98.77551020408163,Golden,70,50.20270270270271
1407.T,1860.0,38,268,-1377,73767043072,7.03187,2.2198908,264.51,837.879,0.38819999,0.517,65.0,0.035364527,1.82,130.0,0.070700005,1828.0,3580.0,none,5,1850.0,1889.0,1849.0,1860.0,1860.0,251000,-183.68,-124.669,-59.011,13.197,57.703,-44.506,2619.517,-759.517,16.887,1.081,25.0,-39.829,-27.548,4.399,-1.522,3.128,-1.452,1.982,-1.755,93.36,1.586,4.163,-1.729,81.898,1.101,4.403,-1.891,1.98,-1.898,4.257,-1.421,3.162,-1.507,37.074,-0.632,11.011,-0.776,Dead,32,153.75,Dead,12,102.42622950819673
1430.T,805.0,38,177,-3295,9617979392,5.0,1.1375022,161.0,707.691,0.39189997,0.233,31.0,0.03846154,4.58,76.0,0.0943,631.0,879.0,none,,801.0,808.0,801.0,805.0,805.0,22500,8.95,6.019,2.931,37.229,19.913,17.316,773.501,31.499,58.385,63.953,58.333,73.06,2.261,59.221,0.091,62.5,0.18,53.376,0.037,15.823,-0.965,69.62,0.535,43.532,-0.374,57.084,0.226,63.158,0.388,61.053,0.402,49.686,0.347,80.994,1.196,58.621,0.32,Golden,67,97.04761904761904,Golden,77,76.33333333333334
1514.T,834.0,57,115,-5907,42913886208,,1.6361185,,509.743,0.80910003,0.637,60.0,0.07125891,2.63,25.0,0.0297,777.0,5570.0,none,,837.0,852.0,834.0,834.0,834.0,419600,-116.923,-120.927,4.003,25.816,26.904,-1.088,1059.021,-225.021,41.688,6.746,41.667,-79.282,-22.36,1.08,-1.873,78.156,0.176,26.891,-0.694,39.076,-0.436,43.277,-0.124,93.101,1.288,7.481,-0.576,33.417,-0.452,14.358,-1.203,29.841,-0.251,14.673,-1.265,14.322,-0.504,Golden,27,201.28947368421052,Dead,7,131.9344262295082
1605.T,1985.5,70,24,-4086,2404321329152,7.397541,0.5617941,268.4,3534.213,0.2636,0.781,80.0,0.040170725,4.0,86.0,0.0432,1700.0,2628.0,buy,9,1980.5,2001.5,1980.5,1985.5,1985.5,5744300,-58.802,-52.005,-6.797,30.452,45.178,-14.726,1772.231,213.269,39.717,32.997,50.0,-71.829,-7.59,11.156,-0.834,33.226,-0.256,28.084,-0.594,80.925,0.868,22.159,-0.756,80.643,0.66,85.542,0.814,22.952,-0.767,33.171,-0.604,38.138,0.05,13.186,-1.336,23.813,-0.472,Dead,180,41.625,Dead,5,105.8641975308642
1719.T,1190.0,65,115,,186522976256,12.370063,1.1816704,96.2,1007.049,0.56060004,0.315,30.0,0.025795357,4.35,60.0,0.051599998,1024.0,1280.0,none,2,1174.0,1192.0,1160.0,1190.0,1190.0,1204900,2.538,-3.671,6.209,32.113,25.352,6.761,1093.086,96.914,60.488,94.737,50.0,7.624,3.802,55.888,-0.076,80.792,0.727,44.325,-0.247,26.223,-0.722,60.372,0.215,95.266,1.732,86.86,1.182,69.208,0.549,89.932,1.342,45.268,0.11,51.434,0.061,63.439,0.258,Golden,15,237.66666666666666,Golden,10,142.3
1720.T,699.0,65,115,-6696,73922043904,11.708543,0.76442647,59.7,914.411,0.8524,0.39,19.0,0.027536232,4.36,38.0,0.0551,658.0,868.0,none,1,694.0,701.0,690.0,699.0,699.0,341900,-22.915,-21.835,-1.08,18.301,43.791,-25.49,701.474,-2.474,30.526,30.882,16.667,-86.872,-4.916,29.537,0.011,41.313,-0.012,15.166,-1.07,63.503,0.421,25.342,-0.773,47.44,-0.245,56.715,0.166,20.528,-0.93,43.597,-0.364,0.293,-2.075,17.112,-1.114,44.466,0.007,Dead,240,-39.45945945945945,Dead,200,-48.87755102040816
1803.T,1199.5,65,115,,837150310400,14.606672,0.9738873,82.12,1231.662,1.4397,0.36,24.0,0.020159597,2.44,35.0,0.0294,797.3,1247.0,hold,7,1190.5,1207.0,1188.0,1199.5,1199.5,2337600,64.899,38.076,26.824,56.764,11.919,44.846,1017.386,182.114,89.855,87.809,66.667,89.197,17.985,96.95,2.228,99.839,2.892,92.857,1.551,4.221,-1.764,94.724,1.714,89.478,1.337,99.116,2.035,98.135,2.316,79.643,1.086,75.87,1.075,93.12,1.392,94.599,1.6,Golden,105,67.78846153846155,Golden,105,0.8433734939759034
1814.T,1597.0,64,115,-3780,16688650240,,0.7263826,,2198.566,0.48169997,0.39,35.0,0.022040302,4.58,89.0,0.055999998,1280.0,1849.0,none,,1595.0,1605.0,1590.0,1597.0,1597.0,50100,-1.85,3.236,-5.086,31.393,41.975,-10.582,1575.346,21.654,38.081,17.881,58.333,-60.274,-3.915,48.339,-0.13,35.548,-0.298,39.16,-0.362,66.807,0.471,35.798,-0.431,95.345,1.733,57.024,0.204,26.784,-0.673,27.54,-0.875,70.411,0.884,27.99,-0.913,42.966,-0.122,Dead,167,11.333333333333343,Dead,0,135.66666666666666
1852.T,650.0,65,115,-126,52395659264,,1.1863348,,547.906,0.8269,0.311,40.6,0.06323987,5.61,35.0,0.0545,590.0,888.0,none,,643.0,652.0,642.0,650.0,650.0,356900,-23.842,-22.745,-1.098,19.178,40.183,-21.005,737.379,-87.379,35.333,12.121,41.667,-84.752,-7.582,0.748,-2.119,38.621,-0.226,8.487,-1.286,64.622,0.418,21.429,-0.882,96.426,2.466,3.408,-1.92,18.892,-0.933,17.548,-1.131,25.063,-0.405,7.888,-1.408,29.068,-0.441,Dead,117,78.68181818181819,Dead,117,8.59701492537313
1882.T,1280.0,66,115,-250,59240574976,,1.1400173,,1122.79,0.5076,0.315,42.0,0.032838155,2.86,52.0,0.040700004,1042.0,1455.0,none,,1283.0,1292.0,1277.0,1280.0,1280.0,43800,-2.673,6.826,-9.499,31.438,32.543,-1.106,1376.284,-96.284,39.695,16.667,41.667,-10.291,-1.781,33.638,-0.384,4.319,-1.424,37.983,-0.398,49.076,-0.067,43.782,-0.175,98.753,3.996,3.491,-1.558,26.616,-0.712,21.662,-1.023,22.213,-0.465,41.73,-0.274,39.831,-0.113,Dead,42,128.2941176470588,Dead,7,122.46969696969697
1884.T,1728.0,57,115,-432,75933851648,,0.7653322,,2257.843,0.4998,0.228,60.0,0.034423407,2.82,60.0,0.0344,1385.0,2410.0,none,,1743.0,1750.0,1722.0,1728.0,1728.0,47100,-29.094,-44.492,15.398,36.414,28.276,8.138,1492.6,235.4,57.471,79.899,50.0,-45.299,1.942,13.87,-0.948,92.359,1.24,43.782,-0.145,37.479,-0.369,52.437,0.111,86.783,1.246,96.841,1.835,61.965,0.282,72.544,0.89,44.426,0.145,27.226,-0.885,54.068,0.133,Golden,27,157.5744680851064,Golden,22,124.37931034482759
1885.T,1207.0,65,115,-250,95762415616,9.027674,0.9735489,133.7,1239.794,0.2522,0.026,40.0,0.033955857,3.15,54.0,0.0458,798.0,1322.5,none,,1178.0,1215.0,1170.0,1207.0,1207.0,375100,32.388,3.887,28.501,58.756,16.694,42.062,927.664,279.336,78.054,97.5,58.333,7.009,17.478,87.874,1.064,99.502,2.974,91.345,1.461,13.361,-1.197,91.345,1.39,97.257,2.386,99.584,3.186,92.527,1.474,94.291,1.397,62.783,0.601,46.65,-0.01,92.119,1.157,Golden,62,153.75,Golden,22,105.53731343283582
1887.T,506.0,41,177,,40237072384,,0.59759945,,846.721,0.7388,0.203,20.0,0.039447732,3.73,20.0,0.0394,401.0,630.0,none,,508.0,510.0,505.0,506.0,506.0,262400,2.064,-1.744,3.807,38.889,27.222,11.667,450.422,55.578,61.538,55.769,66.667,88.718,3.747,63.604,0.376,70.318,0.562,69.517,0.41,23.42,-0.746,73.234,0.595,3.546,-1.872,73.404,0.868,78.889,0.883,61.852,0.337,75.0,0.98,98.837,1.697,75.29,0.649,Golden,110,40.769230769230774,Golden,75,65.0
1890.T,1290.0,65,115,-4451,121166602240,13.312694,1.6815618,96.9,767.144,1.4642,0.033,74.0,0.0578577,3.08,80.0,0.0625,1070.0,1555.0,none,,1280.0,1299.0,1280.0,1290.0,1290.0,261000,-22.553,-9.989,-12.564,11.264,46.667,-35.402,1439.181,-149.181,26.937,12.195,50.0,-83.521,-7.042,11.213,-0.876,7.724,-1.2,2.017,-1.79,82.353,0.923,6.471,-1.439,98.919,3.484,6.983,-1.406,6.969,-1.466,16.457,-1.197,48.533,0.235,5.513,-1.406,29.915,-0.358,Dead,112,108.89743589743588,Dead,97,20.15277777777777
1893.T,622.7000122070312,65,115,-6328,175483076608,8.976502,1.0149893,69.37,613.504,0.5391,0.097,24.0,0.03892944,3.58,24.0,0.038900003,538.2,852.9,none,5,616.4,626.9,614.7,622.7,622.7,1550900,-18.377,-22.29,3.912,31.337,43.421,-12.083,596.796,25.904,43.466,48.263,50.0,-48.718,-2.4,17.857,-0.931,71.678,0.552,33.025,-0.473,72.437,0.54,29.916,-0.522,72.735,0.767,64.505,0.431,32.746,-0.436,46.767,-0.087,40.319,0.047,29.262,-0.85,42.627,-0.04,Golden,67,129.8181818181818,Dead,82,42.33823529411765
1898.T,1508.0,63,115,-3721,55023603712,,1.3806653,,1092.227,1.1661,0.143,45.0,0.029880479,4.46,90.0,0.0598,1406.0,2042.0,none,,1501.0,1519.0,1501.0,1508.0,1508.0,284800,-50.058,-49.64,-0.418,23.063,45.599,-22.535,1473.998,34.002,32.506,18.1,25.0,-89.607,-6.607,1.91,-1.613,46.927,-0.023,15.63,-0.987,80.924,0.904,15.714,-0.992,94.929,2.569,62.344,0.386,14.022,-1.084,23.929,-0.924,4.275,-1.348,2.205,-1.505,29.831,-0.335,Dead,252,-62.68181818181819,Dead,82,23.5625
1934.T,1471.0,56,115,,101780701184,13.671004,0.73685217,107.6,1996.33,0.516,0.319,51.0,0.035839774,3.19,46.0,0.0323,1003.0,1679.0,none,,1423.0,1494.0,1423.0,1471.0,1471.0,165000,11.263,24.231,-12.968,31.981,26.883,5.098,1411.354,59.646,50.791,32.323,58.333,-13.983,-0.37,63.953,0.157,5.482,-1.462,36.807,-0.376,33.109,-0.497,51.765,0.062,99.002,3.086,74.314,0.623,43.913,-0.118,32.158,-0.638,62.28,0.571,35.963,-0.43,40.508,-0.067,Dead,167,-11.363636363636374,Golden,67,55.35714285714286
1939.T,1478.0,57,114,-67,69877768192,,1.1121905,,1328.909,0.5172,0.33,56.667,0.038418304,3.77,60.0,0.040700004,959.6667,1576.0,none,,1474.0,1507.0,1471.0,1478.0,1478.0,120700,70.559,50.722,19.837,45.842,15.736,30.107,1380.144,97.856,69.994,81.754,50.0,85.436,12.267,97.342,3.282,99.252,3.851,73.866,0.605,9.076,-1.33,84.202,1.029,99.335,4.636,97.423,1.874,86.482,1.12,72.124,0.824,41.157,0.048,88.719,1.2,93.729,1.485,Golden,32,122.55357142857142,Golden,102,15.569444444444443
